Event	ID	Name			Wwise Object Path	Notes
	239606594	Play_SFX_S_Death			\Default Work Unit\SFX\Play_SFX_S_Death	
	400946182	Event_M_Play_Deathmatch			\Default Work Unit\Music\Event_M_Play_Deathmatch	
	799208851	Play_SFX_S_SlingshotCharge			\Default Work Unit\SFX\Play_SFX_S_SlingshotCharge	
	1721975435	Play_SFX_S_Land			\Default Work Unit\SFX\Play_SFX_S_Land	
	2474506946	Event_M_Play_Menu			\Default Work Unit\Music\Event_M_Play_Menu	
	2557300141	Event_M_Play_Chairs			\Default Work Unit\Music\Event_M_Play_Chairs	
	2655917940	Play_SFX_S_Collision			\Default Work Unit\SFX\Play_SFX_S_Collision	
	3510434704	Play_SFX_S_Jump			\Default Work Unit\SFX\Play_SFX_S_Jump	

State Group	ID	Name			Wwise Object Path	Notes
	4206939811	MusicLevels			\Default Work Unit\MusicLevels	

State	ID	Name	State Group			Notes
	748895195	None	MusicLevels			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	254376900	SFX_Slime_Collision_12	C:\Users\Julien QUENTIN\Documents\IIM\A3\PlatinumProject\PlatinumProject_WwiseProject\.cache\Windows\SFX\SFX_Slime_Collision_12_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_Collision\SFX_Slime_Collision_12		29564
	260516485	SFX_Slime_Death_06	C:\Users\Julien QUENTIN\Documents\IIM\A3\PlatinumProject\PlatinumProject_WwiseProject\.cache\Windows\SFX\SFX_Slime_Death_06_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_Death\SFX_Slime_Death_06		162490
	266600533	SFX_Slime_Land_08	C:\Users\Julien QUENTIN\Documents\IIM\A3\PlatinumProject\PlatinumProject_WwiseProject\.cache\Windows\SFX\SFX_Slime_Land_08_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_Land\SFX_Slime_Land_08		18692
	319305046	SFX_Slime_Slingshot_Charge_05	C:\Users\Julien QUENTIN\Documents\IIM\A3\PlatinumProject\PlatinumProject_WwiseProject\.cache\Windows\SFX\SFX_Slime_Slingshot_Charge_05_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_SlingshotCharge\SFX_Slime_Slingshot_Charge_05		43004
	319330301	SFX_Slime_Collision_01	C:\Users\Julien QUENTIN\Documents\IIM\A3\PlatinumProject\PlatinumProject_WwiseProject\.cache\Windows\SFX\SFX_Slime_Collision_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_Collision\SFX_Slime_Collision_01		29126
	379723633	SFX_Slime_Jump_08	C:\Users\Julien QUENTIN\Documents\IIM\A3\PlatinumProject\PlatinumProject_WwiseProject\.cache\Windows\SFX\SFX_Slime_Jump_08_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_Jump\SFX_Slime_Jump_08		16750
	419688359	SFX_Slime_Jump_04	C:\Users\Julien QUENTIN\Documents\IIM\A3\PlatinumProject\PlatinumProject_WwiseProject\.cache\Windows\SFX\SFX_Slime_Jump_04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_Jump\SFX_Slime_Jump_04		13476
	427984251	SFX_Slime_Jump_05	C:\Users\Julien QUENTIN\Documents\IIM\A3\PlatinumProject\PlatinumProject_WwiseProject\.cache\Windows\SFX\SFX_Slime_Jump_05_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_Jump\SFX_Slime_Jump_05		14390
	493223277	SFX_Slime_Collision_09	C:\Users\Julien QUENTIN\Documents\IIM\A3\PlatinumProject\PlatinumProject_WwiseProject\.cache\Windows\SFX\SFX_Slime_Collision_09_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_Collision\SFX_Slime_Collision_09		34690
	520780249	SFX_Slime_Jump_10	C:\Users\Julien QUENTIN\Documents\IIM\A3\PlatinumProject\PlatinumProject_WwiseProject\.cache\Windows\SFX\SFX_Slime_Jump_10_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_Jump\SFX_Slime_Jump_10		12172
	520803881	SFX_Slime_Land_05	C:\Users\Julien QUENTIN\Documents\IIM\A3\PlatinumProject\PlatinumProject_WwiseProject\.cache\Windows\SFX\SFX_Slime_Land_05_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_Land\SFX_Slime_Land_05		23308
	528387582	SFX_Slime_Jump_07	C:\Users\Julien QUENTIN\Documents\IIM\A3\PlatinumProject\PlatinumProject_WwiseProject\.cache\Windows\SFX\SFX_Slime_Jump_07_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_Jump\SFX_Slime_Jump_07		17356
	569310315	SFX_Slime_Collision_05	C:\Users\Julien QUENTIN\Documents\IIM\A3\PlatinumProject\PlatinumProject_WwiseProject\.cache\Windows\SFX\SFX_Slime_Collision_05_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_Collision\SFX_Slime_Collision_05		28988
	602025029	SFX_Slime_Land_06	C:\Users\Julien QUENTIN\Documents\IIM\A3\PlatinumProject\PlatinumProject_WwiseProject\.cache\Windows\SFX\SFX_Slime_Land_06_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_Land\SFX_Slime_Land_06		22308
	623648346	SFX_Slime_Slingshot_Charge_08	C:\Users\Julien QUENTIN\Documents\IIM\A3\PlatinumProject\PlatinumProject_WwiseProject\.cache\Windows\SFX\SFX_Slime_Slingshot_Charge_08_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_SlingshotCharge\SFX_Slime_Slingshot_Charge_08		45556
	653138667	SFX_Slime_Jump_02	C:\Users\Julien QUENTIN\Documents\IIM\A3\PlatinumProject\PlatinumProject_WwiseProject\.cache\Windows\SFX\SFX_Slime_Jump_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_Jump\SFX_Slime_Jump_02		14520
	660285715	SFX_Slime_Slingshot_Charge_03	C:\Users\Julien QUENTIN\Documents\IIM\A3\PlatinumProject\PlatinumProject_WwiseProject\.cache\Windows\SFX\SFX_Slime_Slingshot_Charge_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_SlingshotCharge\SFX_Slime_Slingshot_Charge_03		45232
	664222708	SFX_Slime_Jump_09	C:\Users\Julien QUENTIN\Documents\IIM\A3\PlatinumProject\PlatinumProject_WwiseProject\.cache\Windows\SFX\SFX_Slime_Jump_09_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_Jump\SFX_Slime_Jump_09		14962
	686759417	SFX_Slime_Land_03	C:\Users\Julien QUENTIN\Documents\IIM\A3\PlatinumProject\PlatinumProject_WwiseProject\.cache\Windows\SFX\SFX_Slime_Land_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_Land\SFX_Slime_Land_03		19166
	697420587	SFX_Slime_Collision_10	C:\Users\Julien QUENTIN\Documents\IIM\A3\PlatinumProject\PlatinumProject_WwiseProject\.cache\Windows\SFX\SFX_Slime_Collision_10_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_Collision\SFX_Slime_Collision_10		28068
	710140718	SFX_Slime_Slingshot_Charge_04	C:\Users\Julien QUENTIN\Documents\IIM\A3\PlatinumProject\PlatinumProject_WwiseProject\.cache\Windows\SFX\SFX_Slime_Slingshot_Charge_04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_SlingshotCharge\SFX_Slime_Slingshot_Charge_04		42346
	720036873	SFX_Slime_Land_01	C:\Users\Julien QUENTIN\Documents\IIM\A3\PlatinumProject\PlatinumProject_WwiseProject\.cache\Windows\SFX\SFX_Slime_Land_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_Land\SFX_Slime_Land_01		19940
	722760187	SFX_Slime_Collision_04	C:\Users\Julien QUENTIN\Documents\IIM\A3\PlatinumProject\PlatinumProject_WwiseProject\.cache\Windows\SFX\SFX_Slime_Collision_04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_Collision\SFX_Slime_Collision_04		31122
	733502543	SFX_Slime_Land_02	C:\Users\Julien QUENTIN\Documents\IIM\A3\PlatinumProject\PlatinumProject_WwiseProject\.cache\Windows\SFX\SFX_Slime_Land_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_Land\SFX_Slime_Land_02		20516
	751476754	SFX_Slime_Death_05	C:\Users\Julien QUENTIN\Documents\IIM\A3\PlatinumProject\PlatinumProject_WwiseProject\.cache\Windows\SFX\SFX_Slime_Death_05_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_Death\SFX_Slime_Death_05		174166
	753198260	SFX_Slime_Slingshot_Charge_10	C:\Users\Julien QUENTIN\Documents\IIM\A3\PlatinumProject\PlatinumProject_WwiseProject\.cache\Windows\SFX\SFX_Slime_Slingshot_Charge_10_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_SlingshotCharge\SFX_Slime_Slingshot_Charge_10		45366
	769587429	SFX_Slime_Collision_11	C:\Users\Julien QUENTIN\Documents\IIM\A3\PlatinumProject\PlatinumProject_WwiseProject\.cache\Windows\SFX\SFX_Slime_Collision_11_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_Collision\SFX_Slime_Collision_11		34762
	770795266	SFX_Slime_Collision_03	C:\Users\Julien QUENTIN\Documents\IIM\A3\PlatinumProject\PlatinumProject_WwiseProject\.cache\Windows\SFX\SFX_Slime_Collision_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_Collision\SFX_Slime_Collision_03		30262
	801116563	SFX_Slime_Slingshot_Charge_02	C:\Users\Julien QUENTIN\Documents\IIM\A3\PlatinumProject\PlatinumProject_WwiseProject\.cache\Windows\SFX\SFX_Slime_Slingshot_Charge_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_SlingshotCharge\SFX_Slime_Slingshot_Charge_02		41196
	827318304	SFX_Slime_Collision_02	C:\Users\Julien QUENTIN\Documents\IIM\A3\PlatinumProject\PlatinumProject_WwiseProject\.cache\Windows\SFX\SFX_Slime_Collision_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_Collision\SFX_Slime_Collision_02		33452
	873874682	SFX_Slime_Death_03	C:\Users\Julien QUENTIN\Documents\IIM\A3\PlatinumProject\PlatinumProject_WwiseProject\.cache\Windows\SFX\SFX_Slime_Death_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_Death\SFX_Slime_Death_03		168168
	923745404	SFX_Slime_Slingshot_Charge_09	C:\Users\Julien QUENTIN\Documents\IIM\A3\PlatinumProject\PlatinumProject_WwiseProject\.cache\Windows\SFX\SFX_Slime_Slingshot_Charge_09_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_SlingshotCharge\SFX_Slime_Slingshot_Charge_09		44472
	941860848	SFX_Slime_Jump_01	C:\Users\Julien QUENTIN\Documents\IIM\A3\PlatinumProject\PlatinumProject_WwiseProject\.cache\Windows\SFX\SFX_Slime_Jump_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_Jump\SFX_Slime_Jump_01		13990
	941989638	SFX_Slime_Land_09	C:\Users\Julien QUENTIN\Documents\IIM\A3\PlatinumProject\PlatinumProject_WwiseProject\.cache\Windows\SFX\SFX_Slime_Land_09_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_Land\SFX_Slime_Land_09		21190
	970521053	SFX_Slime_Death_02	C:\Users\Julien QUENTIN\Documents\IIM\A3\PlatinumProject\PlatinumProject_WwiseProject\.cache\Windows\SFX\SFX_Slime_Death_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_Death\SFX_Slime_Death_02		171780
	980133187	SFX_Slime_Slingshot_Charge_06	C:\Users\Julien QUENTIN\Documents\IIM\A3\PlatinumProject\PlatinumProject_WwiseProject\.cache\Windows\SFX\SFX_Slime_Slingshot_Charge_06_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_SlingshotCharge\SFX_Slime_Slingshot_Charge_06		47164
	1015612881	SFX_Slime_Slingshot_Charge_01	C:\Users\Julien QUENTIN\Documents\IIM\A3\PlatinumProject\PlatinumProject_WwiseProject\.cache\Windows\SFX\SFX_Slime_Slingshot_Charge_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_SlingshotCharge\SFX_Slime_Slingshot_Charge_01		45746
	1040115227	SFX_Slime_Jump_06	C:\Users\Julien QUENTIN\Documents\IIM\A3\PlatinumProject\PlatinumProject_WwiseProject\.cache\Windows\SFX\SFX_Slime_Jump_06_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_S_Jump\SFX_Slime_Jump_06		14612

